Y	1div10	1	10
   1.0000000e+00	   1.0145950e+00	   1.1208881e+00	   1.6063679e+00	
   1.0115911e+00	   1.0181089e+00	   1.1247701e+00	   1.6119313e+00	
   1.0233166e+00	   1.0216349e+00	   1.1286655e+00	   1.6175139e+00	
   1.0351780e+00	   1.0251732e+00	   1.1325745e+00	   1.6231159e+00	
   1.0471768e+00	   1.0287237e+00	   1.1364969e+00	   1.6287373e+00	
   1.0593148e+00	   1.0322865e+00	   1.1404330e+00	   1.6343781e+00	
   1.0715934e+00	   1.0358616e+00	   1.1443827e+00	   1.6400385e+00	
   1.0840144e+00	   1.0394491e+00	   1.1483460e+00	   1.6457185e+00	
   1.0965793e+00	   1.0430491e+00	   1.1523231e+00	   1.6514181e+00	
   1.1092899e+00	   1.0466615e+00	   1.1563140e+00	   1.6571375e+00	
   1.1221478e+00	   1.0502864e+00	   1.1603187e+00	   1.6628767e+00	
   1.1351547e+00	   1.0539239e+00	   1.1643372e+00	   1.6686358e+00	
   1.1483124e+00	   1.0575740e+00	   1.1683697e+00	   1.6744148e+00	
   1.1616226e+00	   1.0612367e+00	   1.1724161e+00	   1.6802138e+00	
   1.1750871e+00	   1.0649121e+00	   1.1764766e+00	   1.6860329e+00	
   1.1887077e+00	   1.0686002e+00	   1.1805511e+00	   1.6918722e+00	
   1.2024861e+00	   1.0723011e+00	   1.1846397e+00	   1.6977317e+00	
   1.2164243e+00	   1.0760148e+00	   1.1887425e+00	   1.7036115e+00	
   1.2305240e+00	   1.0797414e+00	   1.1928595e+00	   1.7095116e+00	
   1.2447871e+00	   1.0834809e+00	   1.1969907e+00	   1.7154322e+00	
   1.2592156e+00	   1.0872333e+00	   1.2011363e+00	   1.7213733e+00	
   1.2738113e+00	   1.0909988e+00	   1.2052962e+00	   1.7273350e+00	
   1.2885762e+00	   1.0947772e+00	   1.2094705e+00	   1.7333173e+00	
   1.3035122e+00	   1.0985688e+00	   1.2136593e+00	   1.7393203e+00	
   1.3186214e+00	   1.1023735e+00	   1.2178626e+00	   1.7453441e+00	
   1.3339057e+00	   1.1061914e+00	   1.2220805e+00	   1.7513888e+00	
   1.3493671e+00	   1.1100225e+00	   1.2263129e+00	   1.7574544e+00	
   1.3650078e+00	   1.1138668e+00	   1.2305600e+00	   1.7635410e+00	
   1.3808298e+00	   1.1177245e+00	   1.2348219e+00	   1.7696487e+00	
   1.3968351e+00	   1.1215955e+00	   1.2390984e+00	   1.7757776e+00	
   1.4130260e+00	   1.1254800e+00	   1.2433898e+00	   1.7819277e+00	
   1.4294045e+00	   1.1293779e+00	   1.2476961e+00	   1.7880991e+00	
   1.4459729e+00	   1.1332893e+00	   1.2520172e+00	   1.7942918e+00	
   1.4627334e+00	   1.1372142e+00	   1.2563534e+00	   1.8005060e+00	
   1.4796881e+00	   1.1411527e+00	   1.2607045e+00	   1.8067418e+00	
   1.4968393e+00	   1.1451049e+00	   1.2650708e+00	   1.8129991e+00	
   1.5141893e+00	   1.1490708e+00	   1.2694521e+00	   1.8192781e+00	
   1.5317405e+00	   1.1530504e+00	   1.2738486e+00	   1.8255788e+00	
   1.5494950e+00	   1.1570438e+00	   1.2782604e+00	   1.8319014e+00	
   1.5674554e+00	   1.1610510e+00	   1.2826874e+00	   1.8382458e+00	
   1.5856240e+00	   1.1650721e+00	   1.2871297e+00	   1.8446123e+00	
   1.6040031e+00	   1.1691071e+00	   1.2915875e+00	   1.8510007e+00	
   1.6225953e+00	   1.1731561e+00	   1.2960607e+00	   1.8574113e+00	
   1.6414030e+00	   1.1772191e+00	   1.3005493e+00	   1.8638441e+00	
   1.6604287e+00	   1.1812962e+00	   1.3050535e+00	   1.8702992e+00	
   1.6796749e+00	   1.1853874e+00	   1.3095734e+00	   1.8767767e+00	
   1.6991442e+00	   1.1894927e+00	   1.3141088e+00	   1.8832766e+00	
   1.7188391e+00	   1.1936123e+00	   1.3186600e+00	   1.8897989e+00	
   1.7387624e+00	   1.1977462e+00	   1.3232269e+00	   1.8963439e+00	
   1.7589166e+00	   1.2018944e+00	   1.3278097e+00	   1.9029116e+00	
   1.7793044e+00	   1.2060569e+00	   1.3324083e+00	   1.9095019e+00	
   1.7999285e+00	   1.2102339e+00	   1.3370229e+00	   1.9161152e+00	
   1.8207917e+00	   1.2144253e+00	   1.3416534e+00	   1.9227513e+00	
   1.8418967e+00	   1.2186312e+00	   1.3463000e+00	   1.9294104e+00	
   1.8632463e+00	   1.2228517e+00	   1.3509627e+00	   1.9360925e+00	
   1.8848434e+00	   1.2270869e+00	   1.3556415e+00	   1.9427978e+00	
   1.9066908e+00	   1.2313367e+00	   1.3603365e+00	   1.9495264e+00	
   1.9287915e+00	   1.2356012e+00	   1.3650478e+00	   1.9562782e+00	
   1.9511483e+00	   1.2398805e+00	   1.3697754e+00	   1.9630534e+00	
   1.9737643e+00	   1.2441746e+00	   1.3745193e+00	   1.9698521e+00	
   1.9966425e+00	   1.2484835e+00	   1.3792797e+00	   1.9766743e+00	
   2.0197858e+00	   1.2528074e+00	   1.3840566e+00	   1.9835202e+00	
   2.0431973e+00	   1.2571463e+00	   1.3888500e+00	   1.9903897e+00	
   2.0668802e+00	   1.2615002e+00	   1.3936601e+00	   1.9972831e+00	
   2.0908377e+00	   1.2658692e+00	   1.3984868e+00	   2.0042003e+00	
   2.1150728e+00	   1.2702533e+00	   1.4033302e+00	   2.0111415e+00	
   2.1395889e+00	   1.2746526e+00	   1.4081903e+00	   2.0181067e+00	
   2.1643891e+00	   1.2790671e+00	   1.4130674e+00	   2.0250961e+00	
   2.1894768e+00	   1.2834969e+00	   1.4179613e+00	   2.0321096e+00	
   2.2148552e+00	   1.2879421e+00	   1.4228721e+00	   2.0391475e+00	
   2.2405279e+00	   1.2924026e+00	   1.4278000e+00	   2.0462097e+00	
   2.2664981e+00	   1.2968786e+00	   1.4327449e+00	   2.0532964e+00	
   2.2927693e+00	   1.3013701e+00	   1.4377070e+00	   2.0604076e+00	
   2.3193451e+00	   1.3058772e+00	   1.4426862e+00	   2.0675434e+00	
   2.3462288e+00	   1.3103999e+00	   1.4476827e+00	   2.0747040e+00	
   2.3734243e+00	   1.3149382e+00	   1.4526965e+00	   2.0818893e+00	
   2.4009349e+00	   1.3194922e+00	   1.4577276e+00	   2.0890996e+00	
   2.4287644e+00	   1.3240621e+00	   1.4627762e+00	   2.0963348e+00	
   2.4569165e+00	   1.3286477e+00	   1.4678422e+00	   2.1035951e+00	
   2.4853949e+00	   1.3332492e+00	   1.4729258e+00	   2.1108805e+00	
   2.5142033e+00	   1.3378667e+00	   1.4780271e+00	   2.1181912e+00	
