price	lev1	lev3	levCnt1
   1.0000000e+03   1.0000000e+00   1.0000000e+00   1.0000000e+00
   1.0090090e+03   1.0044643e+00   1.0178571e+00   1.0044643e+00
   1.0180180e+03   1.0088496e+00   1.0353982e+00   1.0089088e+00
   1.0270270e+03   1.0131579e+00   1.0526316e+00   1.0133339e+00
   1.0360360e+03   1.0173913e+00   1.0695652e+00   1.0177397e+00
   1.0450450e+03   1.0215517e+00   1.0862069e+00   1.0221265e+00
   1.0540541e+03   1.0256410e+00   1.1025641e+00   1.0264945e+00
   1.0630631e+03   1.0296610e+00   1.1186441e+00   1.0308441e+00
   1.0720721e+03   1.0336134e+00   1.1344538e+00   1.0351754e+00
   1.0810811e+03   1.0375000e+00   1.1500000e+00   1.0394886e+00
   1.0900901e+03   1.0413223e+00   1.1652893e+00   1.0437840e+00
   1.0990991e+03   1.0450820e+00   1.1803279e+00   1.0480618e+00
   1.1081081e+03   1.0487805e+00   1.1951220e+00   1.0523222e+00
   1.1171171e+03   1.0524194e+00   1.2096774e+00   1.0565654e+00
   1.1261261e+03   1.0560000e+00   1.2240000e+00   1.0607917e+00
   1.1351351e+03   1.0595238e+00   1.2380952e+00   1.0650012e+00
   1.1441441e+03   1.0629921e+00   1.2519685e+00   1.0691941e+00
   1.1531532e+03   1.0664063e+00   1.2656250e+00   1.0733707e+00
   1.1621622e+03   1.0697674e+00   1.2790698e+00   1.0775310e+00
   1.1711712e+03   1.0730769e+00   1.2923077e+00   1.0816754e+00
   1.1801802e+03   1.0763359e+00   1.3053435e+00   1.0858039e+00
   1.1891892e+03   1.0795455e+00   1.3181818e+00   1.0899168e+00
   1.1981982e+03   1.0827068e+00   1.3308271e+00   1.0940142e+00
   1.2072072e+03   1.0858209e+00   1.3432836e+00   1.0980964e+00
   1.2162162e+03   1.0888889e+00   1.3555556e+00   1.1021634e+00
   1.2252252e+03   1.0919118e+00   1.3676471e+00   1.1062155e+00
   1.2342342e+03   1.0948905e+00   1.3795620e+00   1.1102527e+00
   1.2432432e+03   1.0978261e+00   1.3913043e+00   1.1142754e+00
   1.2522523e+03   1.1007194e+00   1.4028777e+00   1.1182836e+00
   1.2612613e+03   1.1035714e+00   1.4142857e+00   1.1222774e+00
   1.2702703e+03   1.1063830e+00   1.4255319e+00   1.1262572e+00
   1.2792793e+03   1.1091549e+00   1.4366197e+00   1.1302228e+00
   1.2882883e+03   1.1118881e+00   1.4475524e+00   1.1341747e+00
   1.2972973e+03   1.1145833e+00   1.4583333e+00   1.1381128e+00
